Freq [GHz],S12 Mag,S13 Mag,S14 Mag,S23 Mag,S24 Mag,S34 Mag,S12 Phase,S13 Phase,S14 Phase,S23 Phase,S24 Phase,S34 Phase,S11 Mag,S22 Mag,S33 Mag,S44 Mag,S11 Phase,S22 Phase,S33 Phase,S44 Phase,Size
0.0,0.27001159714415846,0.1434950329928093,0.24698941505597372,0.4224501273479606,0.24026372448737843,0.19212693891074717,0.9598562671127231,0.9145705517535057,0.09808294230999309,0.46948613287473706,0.2149339693855868,0.3295645407158434,0.993205588895435,0.9993897917390574,1.0,0.9985641337824862,0.580027419140283,0.6737665443079252,0.43850613055129845,0.5615723660524901,20.0
0.0010000000000000009,0.2830855882162554,0.13244399590797862,0.3239524321735643,0.17353950879240676,0.17021576455430742,0.1772931366935795,0.9354525471218891,0.9079699850134162,0.09287471661400887,0.4234347135888061,0.18971524814238228,0.32625688057789703,0.9983757305886849,0.9999999999999998,0.9974041167221406,1.0,0.5787095018258099,0.6727166861120574,0.4362574631770995,0.5581493159191255,20.0
0.036000000000000004,0.24863287540623813,0.26013487757291975,0.41980142372426643,0.18863584445564907,0.12323300286454542,0.48247922772013574,0.012013566188358582,0.8041683232374863,0.5145859934906408,0.2194372221640546,0.8225899140118227,0.52045779867202,0.9890804967837887,0.9587190917299886,0.9968676636906855,0.9907449656525225,0.5462061953138856,0.6449698873494731,0.4253805456301194,0.5076482318466056,
0.037000000000000005,0.20271727582131016,0.3081209285082682,0.4348607309772776,0.3660177875269617,0.11620213127541978,0.49168624081044077,0.9606921381334148,0.777029259541326,0.49751249799938996,0.18547557068662596,0.7804908451007991,0.49442399192883885,0.9898381434646742,0.9618932444683248,0.9941716208933286,0.9863189197748993,0.5441546708750149,0.6429076729510349,0.4242552255428863,0.5050296979172283,
0.038000000000000006,0.12481937426286305,0.34473488126762253,0.42866409871612343,0.5144866086686175,0.09237262822874137,0.4989522350512883,0.8757804201539494,0.7424407697512737,0.48007391705983155,0.14230813794937752,0.73746726901414,0.46758890131476905,0.9909706851350947,0.9647719826925104,0.9929849221516404,0.98110100939719,0.5423177528827059,0.6396099960789383,0.42310204990339056,0.5020328332005954,
0.03900000000000001,0.0,0.3623022136297447,0.40961306615517445,0.6279489748443758,0.049645063595632255,0.4914555944043262,0.7396929767856684,0.706407547754776,0.46358524001191104,0.09411448836163833,0.6979821958848326,0.4415992373411081,0.9915919010005649,0.9652936798226017,0.9918522703679059,0.9732573775785539,0.5407974026766912,0.6356768109647815,0.42179320424331235,0.5004424950098189,
0.04000000000000001,0.013176339630701417,0.36547544117523434,0.37138603709712426,0.7170172942291826,0.0033190399599045683,0.4858223216266202,0.508240226144121,0.6686159000987815,0.45364197491834524,0.045978816450318205,0.6683910735700236,0.42302225349143124,0.9928292416524441,0.9629333058068019,0.9914277790006727,0.9656856628034003,0.539505428666283,0.6324638282558912,0.42051700193294506,0.5007744065488345,
0.04799999999999999,0.3213172311672773,0.06603160415645681,0.47887933921449255,0.7787551007444582,0.06130903804310872,0.3003922594674524,0.8573958814285466,0.46701416910470156,0.4605986660809003,0.6763353508355955,0.6824833614015969,0.2807498890048059,0.9987421444665826,0.9415842588168112,0.9869725536098066,0.9639562779326368,0.5249200947459809,0.6311670314505575,0.4050322310927488,0.5003542561662215,
0.049000000000000016,0.3247173386077101,0.027890896864549708,0.5070285251417523,0.7509932637767112,0.16540710898037836,0.2571427738862686,0.8128141625574499,0.4485709341727443,0.4459199646112941,0.6418011379605099,0.6687057058250242,0.2639200391711445,0.995470452039275,0.9415495917912764,0.9862202940885627,0.9634634847957995,0.5235848006899096,0.6306158504926394,0.40419136956211404,0.501198329462237,
0.05000000000000002,0.32175521692627196,0.0,0.5353289291286203,0.7264592148993063,0.2619520653855554,0.19352098863632072,0.7767007464466871,0.43392896446846707,0.4330737129458339,0.6081192989711864,0.6456509995762086,0.25622531062952614,0.9915072838365618,0.9402107446941261,0.9851491528918244,0.9637251191244357,0.5226897475249701,0.6297498779180334,0.4031653370664886,0.5007318595251955,
0.07300000000000001,0.5993511297080758,0.10650980186623338,0.8002316490639709,0.7677445227889106,0.0967152063473169,0.4186153461451523,0.3086019556088333,0.7996341007892143,0.29569840770824174,0.14068923968167224,0.41037736502619915,0.3845164850361619,0.9715092380345051,0.905786902548107,0.9628783317198601,0.9461364130045591,0.4919720929969701,0.5974544727184212,0.3831179334203812,0.4771384489886322,
0.07400000000000001,0.5932235177772565,0.13762781817552616,0.8542242332230263,0.7377467751539024,0.21060605155418943,0.4261477877288209,0.2685748533332267,0.7884597412542511,0.27398573093920436,0.11054365703252017,0.3824118871361641,0.3763559165993726,0.9690911171711104,0.901195575528212,0.960730270367121,0.952538762239453,0.4918547328594903,0.5993260494063155,0.38052664317649665,0.4750081986312008,
0.07500000000000001,0.584065848548952,0.17330247633223972,0.9015187113799086,0.6963124990674232,0.3056962266243983,0.43279189836627263,0.2307628774642166,0.7730354134488446,0.2494160874425972,0.08372107549011737,0.3465679953649793,0.3724755726271438,0.9691244425422502,0.9017594983804509,0.9577460203776281,0.9554075499259655,0.49096754426378086,0.6022898266603804,0.3784085312731733,0.4725757205533352,
0.07600000000000001,0.5726712424910416,0.2091914775333532,0.9367953509239195,0.6438892405005796,0.36935479154984696,0.4390126289277949,0.19805498559361207,0.7572094643547789,0.2216506072103301,0.05452836791631177,0.3054916830638693,0.36634795075287735,0.9703977595763568,0.9070726449650077,0.9526048976614372,0.9560224345108915,0.49031566758350464,0.6036359222967727,0.37622558401537126,0.4692949742051037,
0.07700000000000001,0.5640914200738281,0.23641199338336727,0.9606588336794288,0.5583917801274505,0.40327343246551584,0.45083634799738737,0.16827723021057311,0.7386982919262977,0.19405801270111056,0.02813881302476645,0.2664747117255635,0.35910762236778726,0.9717273478289309,0.9141146591251545,0.9471314868334904,0.9544139862385639,0.48709058467056127,0.6038416099656557,0.3748612519628125,0.4672926187598877,
0.07800000000000001,0.5593997944680803,0.27385986405914675,0.9792807691981507,0.47080325845509563,0.4278981300046132,0.4374095173810755,0.13731743347975262,0.7222262166453646,0.1665950677463967,0.009984089229003457,0.233986241936247,0.34602931366434875,0.9710121888534428,0.919227870372608,0.9403025272616986,0.9512317667852717,0.4833116378076312,0.6035648669821752,0.3741379223479235,0.46548629731950625,
0.07900000000000001,0.5527063453188157,0.31115587476517126,0.9951142430071915,0.3792382928546596,0.44895430026531447,0.45278773991348054,0.09994191965798399,0.6997869047243943,0.13765161940300996,0.9952690792779292,0.1984236236938247,0.34124559796789256,0.9679299570205954,0.9259568894947512,0.9339613647430747,0.950022234565766,0.48094339391789354,0.6027018389917603,0.37418876589781414,0.46426060814032377,
0.07999999999999999,0.5383658500395637,0.33221342727597714,0.9999999999999998,0.29443637812821244,0.46236327951596556,0.46427981876343627,0.06512869222995327,0.6735712465899623,0.1068800494059598,0.9836316425889008,0.16197212780859338,0.3276442678216772,0.9656106926261375,0.932040764454796,0.9273659271531162,0.9484466907528921,0.478654455581798,0.6024088986009242,0.3756819166632789,0.4644958036618525,
0.08100000000000002,0.5228202340193249,0.34819004262461073,0.98776997054782,0.19373008706503692,0.45832983113338677,0.4687675626314789,0.03423626597059881,0.6490110662710974,0.0775272356147339,0.974043913776049,0.1253619286383812,0.3152394781633577,0.9636352503372067,0.937105179327831,0.9215137744989652,0.9487435795569938,0.47690042804462995,0.6001014659275462,0.37663924411937,0.46377316509699895,
0.08200000000000002,0.5082300104186775,0.36092070252487884,0.9755180821890743,0.10808046403151739,0.44924909892627296,0.47312407525133904,0.00714042581244323,0.6244809189104831,0.052828503645481084,0.9715095754650753,0.08877556790449476,0.30436229483775773,0.9606319426315333,0.9405732568492418,0.9155038450821954,0.9497433322253221,0.47457435310796625,0.5980833165142925,0.37822798536199687,0.4633816800782024,
0.08300000000000002,0.4944035433073851,0.3741162961401261,0.9585085269122267,0.011652087490987117,0.4207528052478815,0.46907980049427445,0.9899613543066073,0.5953929813526345,0.027335470760696978,0.971222792055713,0.05194860974612975,0.28438486471992463,0.9562548583765127,0.9415263871202982,0.9089577160891202,0.9518803527158213,0.47259485529710543,0.596378947917931,0.38073396846077034,0.46309015882210675,
0.087,0.47001000315126595,0.3068650148947567,0.8534193623995181,0.026396877458792822,0.2653937666865067,0.39082354972418254,0.9065765010346711,0.4874965951914299,0.949845085036191,0.016276775050408254,0.9354460899318151,0.22523208989560067,0.9325607861901529,0.9447765946368637,0.9061019343543899,0.9572867120120754,0.4721407372257211,0.589504711829672,0.39193790787069965,0.45767098198266554,
0.088,0.4704841865631598,0.27585218751016316,0.836076383207345,0.0985029928442005,0.22817582943646753,0.3515280079665941,0.8885139403866027,0.4587262278973864,0.9337289224466513,0.010719305576608773,0.9092438819954602,0.2228138968673139,0.9276449759774148,0.9426304939611027,0.9089908122398247,0.9561909890489216,0.47351448970651133,0.5862516193474818,0.3926407028635534,0.45563927192361264,
0.089,0.47553158323838696,0.2259713453365899,0.8134327855237251,0.16542282868721214,0.21675892081263082,0.32442296053315234,0.8695507308926977,0.4327877994511809,0.9151990577311042,0.0,0.8843555520832123,0.21709984522317688,0.9233794140320584,0.9406758362177702,0.9125812011515936,0.9565938468538975,0.4762184506365611,0.5836104658703553,0.393102917277407,0.45450860816010985,
0.09,0.48314130422675305,0.16729390219246532,0.7865963884215099,0.22467469809732865,0.20963201595716963,0.2875155774711935,0.8488920235989406,0.4083511995456454,0.8999928108370077,0.9890836412466553,0.8458265248311074,0.21194795643987496,0.9227579070484035,0.9392321168158317,0.9163324747998632,0.9564501207281977,0.4784571827710876,0.5807051559388833,0.39278870976356506,0.45228701272721883,
0.09100000000000003,0.4932491816119686,0.10020636009082473,0.7670513124528799,0.2804280297814774,0.18314165484369394,0.2347521751940771,0.8273574260285667,0.3865664169107231,0.8851094606805694,0.9754774146924943,0.8032580385050346,0.21430380522781295,0.9257155899051153,0.9375459784283973,0.9202643744539001,0.9561182257018037,0.48067238137170143,0.576398448611962,0.39171994581729375,0.4497445139492882,
0.09200000000000003,0.5041666288798177,0.021415103532214097,0.7497724133468027,0.36369410180281614,0.15290607461465777,0.19808086611320874,0.8032889075626328,0.3677444017025703,0.8721035985095156,0.9613008117451994,0.7727628130933033,0.2314152115727407,0.9302719888535068,0.9365481903049874,0.9241809805105524,0.9575851883170291,0.48162972505767043,0.5730777533162592,0.3908135548915478,0.4482955051704266,
0.10300000000000001,0.5170011512811976,0.04773007937689555,0.3937060109122197,0.6252216905397434,0.3371542339674536,0.30637049261343763,0.4149372690741624,0.7246056139384098,0.7710859135270598,0.6713919243601187,0.4212859231043061,0.35772059465292433,0.9263342284871883,0.9150655883662784,0.9467863548422482,0.943650590045674,0.4515901745711459,0.5486070210570798,0.3788201699709546,0.4257318330059245,
0.10400000000000001,0.48890642664604544,0.14534250639823565,0.4096073825046733,0.6385491812415478,0.35347692624849936,0.30631749408514763,0.385273201372215,0.6960030602476012,0.7750950381259002,0.6566418900382706,0.4078994516532281,0.35435799753894004,0.9212806090091208,0.9119656019124976,0.9491651326215313,0.9411878222970744,0.45146587281947426,0.5482557297708521,0.3772652562704266,0.42412905261920797,
0.10500000000000001,0.45585954247025073,0.21336842939416112,0.4366480818636336,0.6494639618308864,0.3749076947231966,0.31382113321553673,0.35880054760238195,0.6662198229914988,0.7751588257763535,0.6383586856439936,0.391678981319304,0.35554289440576553,0.9168867125651582,0.9083140899693354,0.9503113041348425,0.9370760581764259,0.4501463029813499,0.5487973561257404,0.3761557179450472,0.42399398024910256,
0.10600000000000001,0.413998759682101,0.27302977280930385,0.4620393298738248,0.6574052022174977,0.38876298515907126,0.3288593049527704,0.33967408852060915,0.6371576426736155,0.7686851566261519,0.6222248647629336,0.37443711678692393,0.3547437607666361,0.9122345217014769,0.9067208033192431,0.9518672751637174,0.936163628480289,0.4499275295263103,0.5490710489832984,0.37436185460950433,0.42244919214424914,
0.10700000000000001,0.36751291106999495,0.3189206653867127,0.48935308247441256,0.6705661454552061,0.3938814980496821,0.34073768290334305,0.3291121434406731,0.6067096767548584,0.7574456360884931,0.6087556380118542,0.3616969199691872,0.3478093233530366,0.9059432115167042,0.9048968714110994,0.9534150376099928,0.9347939330546644,0.44968575631054464,0.549692778285483,0.37253593651279865,0.42238765932521993,
0.10800000000000001,0.31439564843347245,0.34746810538685535,0.5003978801215043,0.6933190395305051,0.4070386502044425,0.33431555279303526,0.33715577123721663,0.5737095167677866,0.7444461098376031,0.5950810840762869,0.35359301215811834,0.33494165255803743,0.9011972376655917,0.901223933933737,0.9536836368298129,0.9333457375811363,0.4492478020229653,0.5496910822173802,0.3703132629660483,0.42187373529941713,
0.10900000000000001,0.2670878961061589,0.3548977074318387,0.5131764945784374,0.7289162712244375,0.4282725829978362,0.31921352279970594,0.3649184403370014,0.54500901062944,0.7319138114418335,0.5822829310876463,0.344938389206507,0.3423896914617439,0.8958001343798355,0.8978190281544266,0.9547060156198326,0.9321415158456001,0.44970702717715194,0.5485620930219188,0.367707726696764,0.41905356785015047,
