Freq [GHz],S12 Mag,S13 Mag,S14 Mag,S23 Mag,S24 Mag,S34 Mag,S12 Phase,S13 Phase,S14 Phase,S23 Phase,S24 Phase,S34 Phase,S11 Mag,S22 Mag,S33 Mag,S44 Mag,S11 Phase,S22 Phase,S33 Phase,S44 Phase,,Size
0.6218,-27.74354633,-38.25109476,-23.81254118,-36.0722707,-27.89297218,-44.53367503,-26.85594884,138.4559448,56.72215753,-55.53710926,-53.75978617,167.7459248,-0.370710458,-0.827715979,-0.436404147,-0.239511461,-17.18122422,-27.48816538,-21.87089975,-21.0055188,,20
0.6276,-27.28742086,-37.85956268,-24.10163054,-34.84800738,-28.20116686,-44.92591287,-34.93324803,129.6538804,49.48117943,-65.43412329,-74.19336231,137.5099264,-0.309233948,-0.82327974,-0.410784455,-0.212205731,-17.57995384,-27.02603579,-22.46787887,-21.2593612,,20
0.6334,-26.89806737,-37.88945081,-24.28694392,-34.2212594,-28.90823683,-44.35721917,-44.56995155,127.7606861,42.27137724,-81.64815086,-91.91338756,121.7046017,-0.268656854,-0.81077813,-0.389833499,-0.203276507,-18.08989914,-26.75783103,-23.13365562,-21.69059291,,20
0.6392,-26.91139416,-37.79877075,-24.40392748,-34.92359245,-29.75931808,-43.5263126,-56.03653012,126.7115322,34.4872411,-94.53431016,-105.424427,105.9190766,-0.248124855,-0.795201158,-0.391850443,-0.200572573,-18.5746647,-26.6679293,-23.60799389,-21.99856226,,20
0.645,-27.22660849,-37.72428242,-24.53526034,-35.8708589,-30.32845521,-42.71210381,-67.06914102,128.4898971,24.92445847,-106.2518413,-119.0502435,94.5773162,-0.243956931,-0.809901228,-0.413205743,-0.199183185,-19.03501355,-26.70595575,-24.07038653,-22.41606879,,20
0.6508,-27.79847489,-36.83422674,-24.92615922,-37.04932603,-31.14032479,-41.32259889,-78.93107371,127.2768976,13.71287661,-112.1753424,-132.8802921,84.20448352,-0.265657479,-0.802651428,-0.428732861,-0.193597075,-19.11259297,-26.75608769,-24.22895648,-22.72001595,,20
0.6566,-28.70664623,-36.49814259,-25.85421478,-38.04467007,-32.07061453,-40.57870285,-89.71903516,124.3745369,1.662359816,-116.2581741,-143.5740907,71.88088842,-0.265928287,-0.811671792,-0.429819942,-0.188294327,-19.35320019,-26.76561481,-24.03396485,-22.93269403,,20
0.6624,-29.8095774,-36.62073288,-27.50337105,-38.9532088,-32.86020381,-40.07616286,-98.90704246,120.8725386,-8.254650893,-119.1013261,-154.4769449,66.21029346,-0.280853593,-0.834617262,-0.418948431,-0.192073775,-19.52038534,-26.864015,-24.04806284,-23.34402986,,20
0.6682,-30.99260284,-36.77387797,-29.44730221,-39.85962438,-33.5270139,-39.096969,-106.8153193,121.9283778,-12.835013,-120.7120052,-163.8420015,61.86072268,-0.291652212,-0.841036543,-0.380582953,-0.191581448,-19.66029537,-26.98048236,-24.0902811,-23.61421482,,20
0.674,-32.1014069,-36.30734079,-31.32639655,-41.20640124,-34.01554857,-37.84156847,-113.60487,125.5368532,-12.31700473,-118.6186097,-174.4952485,56.70184623,-0.305892459,-0.84170811,-0.360709142,-0.199407229,-19.61417336,-27.16088065,-24.24145545,-24.00724515,,20
0.6798,-33.1217478,-35.5035554,-32.73703222,-41.73806807,-34.4837802,-36.71806463,-120.0053905,127.7522192,-6.99818044,-108.317329,174.5617681,51.45299638,-0.320103886,-0.841791006,-0.350304971,-0.203214256,-19.76845471,-27.46859636,-24.52522605,-24.40894809,,20
0.6856,-34.10015188,-34.49071815,-33.43147841,-40.69838295,-35.05431179,-35.35693706,-126.6846645,129.8989951,0.250461458,-97.55295226,163.5023982,44.15315753,-0.338064452,-0.820219718,-0.336824045,-0.210510403,-19.96520963,-27.81000387,-24.78349053,-24.73455975,,20
0.6914,-34.77025689,-33.0812211,-33.41216565,-39.10829758,-35.25576686,-34.28669208,-134.7915266,127.7140603,7.402435683,-94.5290889,153.104119,34.48223518,-0.35320406,-0.81078995,-0.349320596,-0.221361454,-20.06693299,-28.20773612,-25.15569307,-25.28049278,,20
0.6972,-35.70288455,-31.67703184,-32.58421357,-37.38979331,-35.49600027,-33.59620156,-145.1010009,124.6640236,12.09186888,-90.45489684,140.6119951,24.89995259,-0.36167353,-0.809653982,-0.375278845,-0.240603157,-20.24853378,-28.80702593,-25.61090124,-25.68076951,,20
0.703,-36.9682495,-30.2208539,-31.49838728,-34.65555778,-35.77561576,-33.2146625,-157.2904149,118.7375109,10.84018875,-91.81400577,129.2412602,15.76780815,-0.385569642,-0.814727992,-0.417606589,-0.271761726,-20.48630826,-29.23408519,-26.18769661,-26.32402549,,20
0.7088,-38.26378094,-29.00236732,-30.82534069,-32.04534201,-35.70937701,-32.54449611,-173.8283917,109.4091826,5.407275643,-100.4477682,115.8523128,7.029935894,-0.386003886,-0.799156755,-0.466256088,-0.31518611,-20.53358675,-29.71604583,-26.59731848,-26.86917532,,20
0.7146,-40.5748553,-28.00820333,-30.53746343,-29.76369941,-35.85220142,-32.28303921,165.2250139,99.64304597,-0.712420827,-112.6489131,100.7537558,-2.323378,-0.376015338,-0.752773799,-0.525558251,-0.369528166,-20.93384244,-30.19534552,-27.00155065,-27.34379764,,20
0.7204,-44.49569799,-27.24964386,-30.65591971,-27.85396282,-36.33627152,-32.07670255,134.8779522,87.19619368,-6.962975804,-128.1573492,85.32363032,-11.96457371,-0.361084306,-0.710707648,-0.551660879,-0.433592567,-21.29222807,-30.96179129,-27.41578896,-27.8869943,,20
